Fecha,Temp[C]
14-Jan-2021 11:06:36,230
14-Jan-2021 11:06:36,229
14-Jan-2021 11:06:36,229
14-Jan-2021 11:06:36,229
14-Jan-2021 11:06:36,29
14-Jan-2021 11:06:36,229
14-Jan-2021 11:06:36,28
14-Jan-2021 11:06:36,228
14-Jan-2021 11:06:36,28
14-Jan-2021 11:06:36,228
14-Jan-2021 11:06:36,28
14-Jan-2021 11:06:37,228
14-Jan-2021 11:06:37,27
14-Jan-2021 11:06:37,227
14-Jan-2021 11:06:37,27
14-Jan-2021 11:06:37,227
14-Jan-2021 11:06:37,27
14-Jan-2021 11:06:37,226
14-Jan-2021 11:06:37,6
14-Jan-2021 11:06:37,226
14-Jan-2021 11:06:37,226
14-Jan-2021 11:06:37,226
14-Jan-2021 11:06:37,225
14-Jan-2021 11:06:37,5
14-Jan-2021 11:06:37,225
14-Jan-2021 11:06:37,225
14-Jan-2021 11:06:37,225
14-Jan-2021 11:06:37,224
14-Jan-2021 11:06:37,224
14-Jan-2021 11:06:37,224
14-Jan-2021 11:06:37,224
14-Jan-2021 11:06:37,224
14-Jan-2021 11:06:37,224
14-Jan-2021 11:06:37,23
14-Jan-2021 11:06:37,223
14-Jan-2021 11:06:37,23
14-Jan-2021 11:06:37,223
14-Jan-2021 11:06:37,23
14-Jan-2021 11:06:37,223
14-Jan-2021 11:06:38,223
14-Jan-2021 11:06:38,222
14-Jan-2021 11:06:38,222
14-Jan-2021 11:06:38,222
14-Jan-2021 11:06:38,222
14-Jan-2021 11:06:38,222
14-Jan-2021 11:06:38,221
14-Jan-2021 11:06:38,221
14-Jan-2021 11:06:38,221
14-Jan-2021 11:06:38,221
14-Jan-2021 11:06:38,221
14-Jan-2021 11:06:38,221
14-Jan-2021 11:06:38,220
14-Jan-2021 11:06:38,220
14-Jan-2021 11:06:38,220
14-Jan-2021 11:06:38,220
14-Jan-2021 11:06:38,20
14-Jan-2021 11:06:38,NaN
14-Jan-2021 11:06:38,20
14-Jan-2021 11:06:38,219
14-Jan-2021 11:06:38,19
14-Jan-2021 11:06:38,NaN
14-Jan-2021 11:06:38,19
14-Jan-2021 11:06:38,219
14-Jan-2021 11:06:38,19
14-Jan-2021 11:06:38,218
14-Jan-2021 11:06:38,218
14-Jan-2021 11:06:38,218
